City,Min 1,Max 1,Min 2,Max 2,Min 3,Max 3,Min 4,Max 4,Min 5,Max 5,Min Avg,Max Avg
"Anchorage, Alaska",39.88,50.83,40.99,48.31,38.9,47.36,40.87,46.53,38.08,49.25, 39.74, 48.46
"Buenos Aires, Argentina",16.76,25.74,16.81,27.13,15.91,21.12,15.92,21.18,15.84,23.26, 16.25, 23.69
"São José dos Campos, Brazil",16.19,26.56,15.53,27.97,15.22,28.66,15.68,28.57,15.26,28.66, 15.58, 28.08
"San José, California",16.57,26.52,17.74,26.99,18.31,25.27,16.79,28.86,17.42,28.58, 17.37, 27.24
"Nanaimo, Canada",8.94,14.8,8.55,15.79,8.13,13.83,9.16,12.73,9.14,15.96, 8.78, 14.62
"Ningbo, China",11.05,23.8,11.7,17.22,9.74,19.43,9.03,18.42,8.51,21.4, 10.01, 20.05
"Giza, Egypt",13.44,30.2,12.83,32.1,16.8,35.46,19.78,35.49,16.6,34.11, 15.89, 33.47
"Mannheim, Germany",10.77,20.56,9.22,20.09,8.95,21.36,10.75,23.53,9.53,24.36, 9.84, 21.98
"Hyderabad, India",22.54,38.05,22.13,39.28,26.84,40.38,24.09,41.16,26.37,41.3, 24.39, 40.03
"Tehran, Iran",14.26,25.19,15.4,26.18,13.98,28.91,16.75,29.69,16.98,28.24, 15.47, 27.64
"Bishkek, Kyrgyzstan",5.39,17.67,7.86,20.71,9.17,23.47,10.83,25.31,12.01,27.44, 9.05, 22.92
"Riga, Latvia",1.82,9.39,1.96,11.37,3.58,13.1,3.22,11.62,4.23,12.57, 2.96, 11.61
"Quetta, Pakistan",9.92,23.54,9.97,26.22,13.59,21.09,12.66,26.14,13.84,28.3, 12.00, 25.06
"Warsaw, Poland",1.86,13.12,1.43,14.91,2.65,15.74,3.32,17.46,4.62,18.27, 2.78, 15.90
"Dhahran, Saudia Arabia",22.08,30.18,21.86,29.36,20.62,30.46,21.72,33.03,22.28,36.28, 21.71, 31.86
"Madrid, Spain",10.71,18.44,9.13,17.43,7.58,14.06,9.85,19.48,11.73,19.91, 9.80, 17.86
"Oldham, United Kingdom",4.71,14.51,4.94,13.96,6.3,15.3,6.19,17.7,5.19,19.77, 5.47, 16.25
